Unnamed: 0,transaction_id,description,trnref,dob_new,price_new,customer_type,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,price_uom,class_name_uom
0,001_003-1,CADBURY DREAM BAR 80G,1,,130.0,No-Loyalty card,,Food Item,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,KGS,80G,0.08,1625.0,CHOCOLATE (KGS)
1,001_003-2,PIKA VEGE OIL 5L,2,,764.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,5L,5.0,152.8,COOKING OIL (LTRS)
2,001_003-2,DELICIOUS DELIGHT MUFINS CHOC/CUP 300G 6PKT,2,,95.0,No-Loyalty card,,Food Item,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods,KGS,300G,0.3,316.6666666666667,CUPCAKES/MUFFINS/QUEENCAKES (KGS)
3,001_003-3,SWEET HEART CAKE 400G M/B,3,,150.0,No-Loyalty card,,Food Item,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods,KGS,400G,0.4,375.0,MARBLE CAKES (KGS)
4,001_003-4,ENGARE SPRING WATER 5LTR,4,,139.0,No-Loyalty card,,Food Item,WATER,SPRING WATER,Unprocessed/Minimally processed foods,LTRS,5LTR,5.0,27.8,WATER (LTRS)
5,001_003-5,BRANDED SUGAR 1KG BROWN,5,,110.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,110.0,SUGAR (KGS)
6,001_003-5,AFIA JUICE MIXED FRUIT 500ML,5,,65.0,No-Loyalty card,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,500ML,0.5,130.0,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS)
7,001_003-7,SALIT VEGETABLE OIL 500ML,7,,91.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,500ML,0.5,182.0,COOKING OIL (LTRS)
8,001_003-9,KINANGOP ESL LONG LIFE MILK 500ML,9,,45.0,No-Loyalty card,,Food Item,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods,LTRS,500ML,0.5,90.0,WHOLE MILK (LTRS)
9,001_003-9,ILARA YOGHURT FOREST BERRY 150ML CUP,9,,45.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,300.0,FLAVOURED/FRUIT YOGHURT (LTRS)
10,001_003-9,BUTALI BROWN SUGAR 1KG PKT,9,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
11,001_003-11,EXE CHAPATI FLOUR 2KG,11,,123.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,61.5,WHEAT FLOUR (KGS)
12,001_003-11,JOY SUPER BITES MANDAZI 180G,11,,37.0,No-Loyalty card,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,180G,0.18,205.5555555555556,PASTRIES (KGS)
13,001_003-12,AFIA JUICE MULT-VITAMIN 500ML,12,,65.0,No-Loyalty card,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,500ML,0.5,130.0,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS)
14,001_003-13,UFUTA COOKING OIL 10L,13,,1354.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,10L,10.0,135.4,COOKING OIL (LTRS)
15,001_003-14,KENSALT TABLE SALT 500G,14,,17.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,34.0,SALT (KGS)
